Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
MANA:SHASTRA(Kannada),51: Our Real enemies(ನಮ್ಮ ಕಡು ಶತ್ರು)....!,_TLY6OLMWq8, none
MANA:SHASTRA(Kannada),52: Adhyaya 3 Summary & Moksha Dharma Parva(Introduction),gtxGyKSHu6U, none
MANA:SHASTRA(Kannada),53: ನಾವು ಪ್ರೀತಿಸಿದ ವಸ್ತು/ವ್ಯಕ್ತಿ/ವಿಷಯ ನಮ್ಮಿಂದಿ ತಪ್ಪಿಸಿಹೋದಾಗ ದುಃಖ ಆಗತ್ತೆ” ಅದಕ್ಕೇನು ಮಾಡೋದು?,zW47mcbKmbc, none
MANA:SHASTRA(Kannada),54: ನನ್ನ ಮನಸ್ಸು ನಾನು ಹೇಳಿದಂಗೆ ಯಾಕೆ ಕೇಳೊಲ್ಲ?,Tn1vZD_QgiI, none
MANA:SHASTRA(Kannada),55: ಪ್ರೀತಿಯ ವ್ಯಕ್ತಿಯನ್ನ ಕಳ್ಕೊಂಡಾಗ ದುಃಖ ಆಗುತ್ತೆ. ಅದಕ್ಕೇನು ಮಾಡೋದು?(Question:5),uCqyPyoN1Rg, none
MANA:SHASTRA(Kannada),56: How does happiness and sadness come?(ಹೇಗೆ ಬರುತ್ತೆ ಸುಖ-ದುಃಖ),GxLmYhe4fmM, none
MANA:SHASTRA(Kannada),57: Theology of happiness(ಸುಖದ ಮೀಮಾಂಸೆ ),R1CMvDsXA1k, none
MANA:SHASTRA(Kannada),58: Theology of happiness(ಪಿಂಗಳೋಪಾಖ್ಯಾನ & ಮೇಧಾವೀ ಕಥೆ ),IW8tD0a9jXY, none
MANA:SHASTRA(Kannada),59: Problem & Remedy (ಸಮಸ್ಯೆ-ಪರಿಹಾರ),sEIY3i-qwNU, none
MANA:SHASTRA(Kannada),60: Medhavi's Wisdom: Sanyasa Beyond Ashrama Boundaries,uYBbWQwpP2w, none
MANA:SHASTRA(Kannada),61: Indra-Brahmana Conversation(ಬ್ರಾಹ್ಮಣನ ಕಥೆ),4j1dZlLDULE, none
MANA:SHASTRA(Kannada),62: Nirlepa Karma Yoga-1,OIuHXvX4aYs, none
